user_id,city,age
1,к. Жигулевск,64
2,клх Шелагонцы,65
3,г. Билибино,57
4,д. Дербент,40
5,ст. Слюдянка,44
6,ст. Бодайбо,53
7,п. Люберцы,36
8,клх Добрянка,47
9,с. Обнинск,47
10,д. Уэлен,42
11,ст. Двинской,38
12,ст. Талдом,41
13,д. Новосибирск,34
14,с. Певек,18
15,п. Данков,26
16,п. Кяхта,65
17,п. Сусуман,20
18,ст. Ревда (Сверд.),58
19,г. Заводоуковск,46
20,ст. Усть-Илимск,33
21,д. Салехард,60
22,к. Гремячинск (Перм.),59
23,к. Шаховская,51
24,д. Ребриха,48
25,клх Черняховск,19
26,п. Каргополь,51
27,ст. Балтийск,47
28,к. Лесной (Сверд.),23
29,клх Нижнекамск,39
30,г. Холмогоры,20
31,г. Ставрополь,26
32,д. Тулун,61
33,клх Усть-Ордынский,23
34,д. Ханты-Мансийск,32
35,д. Печора,38
36,г. Яшкуль,41
37,ст. Саранск,28
38,клх Диксон,51
39,клх Сеймчан,64
40,д. Архангельск,52
41,клх Нижневартовск,20
42,с. Шилка,36
43,п. Находка,28
44,п. Урай,26
45,к. Юрьев-Польский,21
46,с. Сосновый Бор,19
47,г. Томпа,41
48,г. Новочеркасск,45
49,клх Верхний Уфалей,33
50,к. Сосьва (Хант.),37
51,п. Кропоткин (Краснод.),58
52,с. Тюмень,26
53,г. Ейск,35
54,к. Неплюевка,22
55,п. Рыбинск,64
56,к. Енисейск,47
57,п. Можга,35
58,г. Тамбов,38
59,д. Теберда,20
60,д. Нижнекамск,55
61,ст. Шарья,51
62,п. Чебоксары,29
63,г. Тамбов,61
64,клх Ялуторовск,65
65,клх Кыштым,20
66,г. Луховицы,41
67,с. Кириши,28
68,с. Вытегра,27
69,клх Меренга,42
70,с. Каргополь,37
71,ст. Белоярский,57
72,с. Дагомыс,45
73,д. Холмогоры,47
74,д. Дербент,33
75,к. Красная Поляна,21
76,ст. Балашиха,19
77,ст. Кимры,63
78,д. Углич,29
79,д. Сызрань,26
80,к. Приморско-Ахтарск,55
81,г. Кашхатау,32
82,д. Неплюевка,49
83,клх Черусти,30
84,ст. Бодайбо,24
85,с. Быково (метеост.),33
86,г. Кизляр,50
87,г. Октябрьское (Хант.),65
88,д. Пушкино (Моск.),40
89,д. Кириши,58
90,клх Кириши,61
91,клх Тихорецк,26
92,ст. Ханты-Мансийск,61
93,д. Курск,58
94,ст. Беломорск,60
95,к. Кисловодск,56
96,д. Томск,61
97,к. Чехов,53
98,к. Южноуральск,48
99,п. Йошкар-Ола,21
100,г. Ставрополь,49
101,клх Валаам,47
102,г. Снежногорск (Мурм.),20
103,с. Черкесск,57
104,ст. Каргополь,35
105,клх Белокуриха,38
106,п. Ижевск,64
107,п. Печенга,51
108,клх Терней,31
109,г. Санкт-Петербург,55
110,ст. Смирных,57
111,г. Ревда (Сверд.),49
112,ст. Великий Устюг,53
113,п. Уфа,33
114,ст. Батайск,65
115,г. Нефедова,64
116,д. Верхоянск,40
117,д. Кинешма,41
118,клх Кунгур,22
119,с. Мурманск,61
120,клх Барнаул,37
121,ст. Муравленко,62
122,п. Карабулак,61
123,п. Белорецк,41
124,д. Мытищи,59
125,к. Кырен,43
126,клх Бугуруслан,47
127,д. Краснотурьинск,55
128,п. Усинск,19
129,клх Бугульма,25
130,клх Октябрьское (Челяб.),53
131,п. Рославль,52
132,клх Наро-Фоминск,61
133,к. Петушки,49
134,п. Меренга,64
135,клх Волгоград,57
136,к. Енисейск,31
137,с. Моршанск,49
138,г. Губкин,63
139,клх Нефтегорск (Самар.),37
140,ст. Воткинск,63
141,с. Красноуфимск,59
142,г. Сибай,46
143,с. Мыс Шмидта,48
144,к. Каспийск,20
145,клх Новороссийск,54
146,д. Мураши,61
147,ст. Волхов,61
148,д. Дно,25
149,клх Алапаевск,58
150,г. Терней,34
151,к. Меренга,45
152,ст. Туруханск,27
153,п. Колпашево,52
154,клх Ковров,61
155,д. Кунгур,32
156,с. Саров (Морд.),54
157,г. Холмск,62
158,г. Оренбург,43
159,с. Миллерово,46
160,с. Астрахань,44
161,г. Нижний Новгород,51
162,с. Геленджик,30
163,к. Междуреченский,21
164,клх Камышин,40
165,д. Жуковский,38
166,п. Поронайск,43
167,г. Верхотурье,25
168,с. Новая Игирма,34
169,с. Северодвинск,58
170,г. Белоярский,47
171,г. Двинской,59
172,д. Красноярск,40
173,клх Джейрах,28
174,г. Нерчинск,34
175,д. Тотьма,60
176,клх Великий Устюг,42
177,г. Оймякон,38
178,клх Агинское (Забайк.),22
179,п. Анапа,60
180,п. Шуя,43
181,д. Костомукша,52
182,г. Хатанга,36
183,к. Бологое,55
184,г. Красновишерск,65
185,п. Лесной (Сверд.),55
186,к. Кизилюрт,24
187,ст. Петропавловск-Камчатский,63
188,ст. Подольск,50
189,к. Сусуман,59
190,к. Белокуриха,27
191,ст. Боровск,41
192,ст. Красная Поляна,32
193,г. Обоянь,27
194,ст. Миасс,20
195,к. Гаврилов-Ям,34
196,ст. Белорецк,21
197,д. Боровск,40
198,клх Новороссийка,31
199,п. Череповец,20
200,п. Гусь-Хрустальный,42
201,г. Самара,48
202,д. Карабулак,26
203,с. Адыгейск,20
204,к. Горно-Алтайск,37
205,к. Пенза,24
206,к. Рязань,23
207,клх Горячий Ключ,44
208,клх Кетченеры,48
209,с. Тарко-Сале,62
210,с. Енисейск,22
211,с. Бреды,65
212,клх Горячинск,19
213,к. Ардон,43
214,д. Мичуринск,48
215,к. Дудинка,63
216,п. Раменское,38
217,клх Поронайск,31
218,клх Енисейск,27
